EITC_id,dataset,statecode,statistic,statid,year,data,Statename,NDecimals,StateAbbrev
283,EIC,21,EIC_totalreturns_state,301,2001,312451.0,Maryland,2.0,MD
284,EIC,22,EIC_totalreturns_state,301,2001,268718.0,Massachusetts,2.0,MA
285,EIC,23,EIC_totalreturns_state,301,2001,572210.0,Michigan,2.0,MI
286,EIC,24,EIC_totalreturns_state,301,2001,218063.0,Minnesota,2.0,MN
287,EIC,25,EIC_totalreturns_state,301,2001,347251.0,Mississippi,2.0,MS
288,EIC,26,EIC_totalreturns_state,301,2001,384532.0,Missouri,2.0,MO
289,EIC,27,EIC_totalreturns_state,301,2001,65924.0,Montana,2.0,MT
290,EIC,28,EIC_totalreturns_state,301,2001,94290.0,Nebraska,2.0,NE
291,EIC,29,EIC_totalreturns_state,301,2001,135725.0,Nevada,2.0,NV
292,EIC,30,EIC_totalreturns_state,301,2001,52543.0,New Hampshire ,2.0,NH
293,EIC,31,EIC_totalreturns_state,301,2001,452848.0,New Jersey,2.0,NJ
294,EIC,32,EIC_totalreturns_state,301,2001,182647.0,New Mexico,2.0,NM
295,EIC,33,EIC_totalreturns_state,301,2001,1382687.0,New York,2.0,NY
296,EIC,34,EIC_totalreturns_state,301,2001,660829.0,North Carolina,2.0,NC
297,EIC,35,EIC_totalreturns_state,301,2001,35372.0,North Dakota,2.0,ND
298,EIC,36,EIC_totalreturns_state,301,2001,698056.0,Ohio,2.0,OH
299,EIC,37,EIC_totalreturns_state,301,2001,275526.0,Oklahoma,2.0,OK
300,EIC,38,EIC_totalreturns_state,301,2001,201421.0,Oregon,2.0,OR
301,EIC,39,EIC_totalreturns_state,301,2001,688567.0,Pennsylvania,2.0,PA
302,EIC,40,EIC_totalreturns_state,301,2001,58737.0,Rhode Island,2.0,RI
303,EIC,41,EIC_totalreturns_state,301,2001,385542.0,South Carolina,2.0,SC
304,EIC,42,EIC_totalreturns_state,301,2001,48045.0,South Dakota,2.0,SD
305,EIC,43,EIC_totalreturns_state,301,2001,489706.0,Tennessee,2.0,TN
306,EIC,44,EIC_totalreturns_state,301,2001,1906013.0,Texas,2.0,TX
307,EIC,45,EIC_totalreturns_state,301,2001,112184.0,Utah,2.0,UT
308,EIC,46,EIC_totalreturns_state,301,2001,33050.0,Vermont,2.0,VT
309,EIC,47,EIC_totalreturns_state,301,2001,436060.0,Virginia,2.0,VA
310,EIC,48,EIC_totalreturns_state,301,2001,308030.0,Washington,2.0,WA
311,EIC,49,EIC_totalreturns_state,301,2001,133414.0,West Virginia,2.0,WV
312,EIC,50,EIC_totalreturns_state,301,2001,252517.0,Wisconsin,2.0,WI
313,EIC,51,EIC_totalreturns_state,301,2001,30199.0,Wyoming,2.0,WY
314,EIC,99,EIC_totalreturns_state,301,2002,21574486.0,United States,2.0,US
315,EIC,1,EIC_totalreturns_state,301,2002,477939.0,Alabama,2.0,AL
316,EIC,2,EIC_totalreturns_state,301,2002,36636.0,Alaska,2.0,AK
317,EIC,3,EIC_totalreturns_state,301,2002,385768.0,Arizona,2.0,AZ
318,EIC,4,EIC_totalreturns_state,301,2002,275662.0,Arkansas,2.0,AR
319,EIC,5,EIC_totalreturns_state,301,2002,2478552.0,California,2.0,CA
320,EIC,6,EIC_totalreturns_state,301,2002,256627.0,Colorado,2.0,CO
321,EIC,7,EIC_totalreturns_state,301,2002,162541.0,Connecticut,2.0,CT
322,EIC,8,EIC_totalreturns_state,301,2002,55276.0,Delaware,2.0,DE
323,EIC,9,EIC_totalreturns_state,301,2002,52903.0,D.C.,2.0,DC
